air_intake_temp_unit,air_intake_temp_value,altitude_unit,altitude_value,ambient_air_temp_unit,ambient_air_temp_value,barometric_pressure_unit,barometric_pressure_value,dtc_number,engine_coolant_temp_unit,engine_coolant_temp_value,engine_load_value,engine_rpm_unit,engine_rpm_value,engine_runtime,epoch,equiv_ratio_value,fuel_level_value,intake_manifold_pressure_unit,intake_manifold_pressure_value,latitude,longitude,maf_unit,maf_value,short term fuel trim bank 1,speed_unit,speed_value,throttle_pos_value,timing_advance_value,vehicle_id
C,37,m,32,C,28,kPa,100,MIL is OFF0 codes,C,83,0.227,RPM,959,00:04:00,XXXXX,0.01,0.706,kPa,51,-3.519721,-58.372958,g/s,4,-0.008,km/h,22,0.204,0.608,s11
C,35,m,33,C,28,kPa,100,MIL is OFF0 codes,C,82,1,RPM,2871,00:04:08,XXXXX,0.01,0.702,kPa,70,-3.519693,-58.377143,g/s,48,0,km/h,43,0.42,0.659,s11
C,35,m,33,C,28,kPa,100,MIL is OFF0 codes,C,82,0.796,RPM,2223,00:04:12,XXXXX,0.01,0.706,kPa,48,-3.51967,-58.380554,g/s,25,-0.039,km/h,50,0.349,0.675,s11
C,35,m,41,C,28,kPa,100,MIL is OFF0 codes,C,84,0.439,RPM,786,00:08:57,XXXXX,0.01,0.694,kPa,45,-3.519816,-58.56337,g/s,4,-0.023,km/h,2,0.212,0.529,s11
C,33,m,33,C,28,kPa,100,MIL is OFF0 codes,C,83,0.749,RPM,1802,00:10:37,XXXXX,0.01,0,kPa,55,-3.519206,-58.611142,g/s,20,-0.008,km/h,43,0.333,0.663,s11
C,33,m,33,C,28,kPa,100,MIL is OFF0 codes,C,83,0.651,RPM,2227,00:10:42,XXXXX,0.01,0.718,kPa,30,-3.519169,-58.614022,g/s,21,-0.078,km/h,47,0.337,0.69,s11
C,33,m,35,C,28,kPa,100,MIL is OFF0 codes,C,83,0.18,RPM,2254,00:10:45,XXXXX,0.01,0.718,kPa,35,-3.519135,-58.616695,g/s,6,0,km/h,41,0.243,0.675,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,83,0.173,RPM,1951,00:10:49,XXXXX,0.01,0.714,kPa,78,-3.519105,-58.618989,g/s,5,0,km/h,37,0.227,0.765,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,85,0.431,RPM,776,00:20:36,XXXXX,0.01,0.694,kPa,37,-3.517935,-58.808247,g/s,4,0.031,(null),(null),0.208,0.518,s11
C,33,m,37,C,28,kPa,100,MIL is OFF0 codes,C,83,0.863,RPM,2410,00:10:57,XXXXX,0.01,0.718,kPa,56,-3.51903,-58.624808,g/s,27,-0.07,km/h,55,0.357,0.678,s11
C,33,m,35,C,28,kPa,100,MIL is OFF0 codes,C,84,0.518,RPM,1690,00:11:26,XXXXX,0.01,0.718,kPa,37,-3.5187,-58.648806,g/s,12,0.008,km/h,62,0.302,0.698,s11
C,34,m,41,C,28,kPa,100,MIL is OFF0 codes,C,83,0.412,RPM,2060,00:07:29,XXXXX,0.01,0.71,kPa,18,-3.520267,-58.522838,g/s,12,-0.008,km/h,20,0.302,0.722,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.467,RPM,1547,00:11:14,XXXXX,0.01,0.722,kPa,44,-3.51885,-58.638737,g/s,10,0,km/h,57,0.29,0.702,s11
C,33,m,36,C,28,kPa,100,MIL is OFF0 codes,C,84,0.588,RPM,1623,00:11:22,XXXXX,0.01,0.722,kPa,47,-3.518754,-58.645732,g/s,14,-0.031,km/h,61,0.31,0.686,s11
